lat	lon	essence	anne_plant
48.8824195626	2.29236395685	Poirier à fleurs	1989
48.8750358925	2.31703002295	Platane	1999
48.8414677142	2.32489452474	Tilleul	1988
48.8412763929	2.27643579262	Nothofagus	1991
48.8414935452	2.3750556819	Marronnier	1980
48.8757640252	2.31973853444	Platane	1970
48.8352817325	2.37570140903	Tilleul	2000
48.8316692823	2.36317713491	Cerisier à fleurs	1988
48.8176531715	2.34749679668	Peuplier	1997
48.8414926815	2.37255651094	Platane	1996
48.8836574972	2.30511243366	Platane	1931
48.8415710691	2.41146870145	Cedrele	1996
48.8502072355	2.41610928993	Charme-Houblon	2006
48.8825297258	2.29026702616	Poirier à fleurs	2008
48.845377738	2.25393528255	Marronnier	1990
48.8880883397	2.33506221094	Erable	2000
48.8901810747	2.34507867803	Cerisier à fleurs	1988
48.865760914	2.35174695239	Troene	1994
48.8348569415	2.34573464293	Marronnier	1997
48.8950946371	2.31501792692	Platane	1989
48.8468233777	2.36179190362	Cerisier à fleurs	2004
48.8725309129	2.40742698758	Micocoulier	1996
48.861806376	2.28276442136	Charme	1990
48.8443724796	2.37790207458	Micocoulier	1998
48.8412735723	2.27648349347	Nothofagus	1991
48.8718928529	2.36575351734	Noisetier de Byzance	1989
48.8890023253	2.30793955487	Noisetier de Byzance	1991
48.8427404196	2.27476643222	Frêne à fleurs	1991
48.8790252588	2.30947433971	Erable	1961
48.8857835729	2.35459328356	Magnolia	2007
48.8423118775	2.38695055021	Charme	1991
48.8406486451	2.40053845896	Noisetier de Byzance	1988
48.83127495	2.35728834988	Tulipier	1989
48.8877333	2.31699595392	Marronnier	1997
48.8394551014	2.40260892574	Houx	2005
48.8480632785	2.26494308585	Platane	2007
48.8585520098	2.26981806885	Marronnier	2010
48.8227920573	2.3360928381	Erable	1992
48.8798210286	2.36371887915	Charme	1996
48.8957026155	2.31678802037	Erable	1994
48.855118108	2.36588470433	Tilleul	1976
48.8422302492	2.34750664204	Non spécifié	2014
48.8908618802	2.31510335549	Orme de Sibérie	2007
48.8500801497	2.37919276198	Marronnier	1996
48.8406530307	2.27730224293	Magnolia	1991
48.8399573831	2.276087029	Magnolia	1991
48.8375298296	2.27234676558	Marronnier	2000
48.8399033765	2.35088045409	Hêtre	1987
48.8541212375	2.2829525172	Tilleul	1992
48.8461394681	2.25843208493	Platane	1996
48.8406789951	2.27243413552	Bouleau	1991
48.895521597	2.36436509831	Tilleul	1991
48.8874693576	2.2876976354	Noisetier de Byzance	1988
48.8324071271	2.35476989329	Frêne	1996
48.8257550891	2.3102618268	Erable	2005
48.8822533671	2.37073382161	Robinier	1989
48.8840550112	2.35305203577	Ailante	1990
48.8890754249	2.30149682126	Sophora	1997
48.8314142248	2.3558683072	Paulownia	2010
48.8212757568	2.3358855439	Erable	1990
48.8451606567	2.35336737656	Cornouiller	2004
48.8257889177	2.36305474107	Cerisier à fleurs	2005
48.8946390252	2.37282654467	Charme	2008
48.8899526654	2.31611229346	Pin	2007
48.892432109	2.3250098219	Erable	1988
48.8396139449	2.37720933137	Tilleul	1988
48.8511223333	2.28391901176	Frêne	1988
48.8719927155	2.3645164324	Platane	2011
48.8526407058	2.38522719782	Aulne	2007
48.8200305107	2.35463413894	Poirier à fleurs	2005
48.8916648542	2.33880367629	Cerisier à fleurs	1989
48.8579584782	2.2481804797	Platane	2002
48.8594874533	2.33517989362	Peuplier	1988
48.8209323366	2.37228138482	Tilleul	1963
48.861179632	2.38825384986	Robinier	2014
48.8393768983	2.38008879951	Tilleul	1996
48.8827689887	2.32383780394	Micocoulier	1999
48.8449246182	2.37161288211	Tilleul	1996
48.8469818362	2.41017027363	Marronnier	2012
48.8441928524	2.38809241412	Hêtre	2007
48.8596945692	2.26424104602	Merisier	2008
48.8476913126	2.36442464686	Platane	1985
48.888296715	2.33554362109	Tilleul	1988
48.8813372139	2.34385605366	Platane	1987
48.8199810486	2.37534565924	Pommier à fleurs	1999
48.8680067529	2.35851362347	Micocoulier	2006
48.883326186	2.34630895588	Platane	2008
