lat	lon	essence	anne_plant
48.8617272326	2.39000708485	Marronnier	1905
48.862089646	2.39561938019	Cyprès	1905
48.8631926407	2.39704521723	Marronnier	1905
48.8732232295	2.37691228045	Marronnier	1905
48.8628271843	2.39774802311	Cerisier à grappes	1905
48.862498542	2.39530605506	Cyprès	1905
48.8597993637	2.39336128117	Orme	1905
48.8733667219	2.37698627017	Pommier à fruits	1905
48.8717409817	2.27482964143	Libocèdre	1905
48.8716659843	2.27489360393	Libocèdre	1905
48.8729681803	2.37732931018	Marronnier	1905
48.8596600965	2.3932509038	Orme	1905
48.8739371226	2.37623137936	Marronnier	1905
48.8627202334	2.39365840942	Marronnier	1905
48.8730996676	2.37697144654	Marronnier	1905
48.8715646351	2.27490171081	Libocèdre	1905
48.8626944311	2.39297776408	Arbre de Judée	1905
48.8738791402	2.3762673583	Marronnier	1905
48.8738001845	2.37647909074	Marronnier	1905
48.8729041274	2.37716923244	Marronnier	1905
48.8624532505	2.39450717093	Magnolia	1905
48.8730457403	2.37690265508	Marronnier	1905
48.8713726212	2.27521922603	Amandier	1905
48.8632302749	2.39672903524	Marronnier	1905
48.8729291048	2.37727948876	Marronnier	1905
48.8634096665	2.39186928101	Marronnier	1905
48.8603557026	2.39612511994	Libocèdre	1905
48.8637109747	2.39657660437	Marronnier	1905
48.8713896119	2.27498972495	Tilleul	1905
48.8657857321	2.36952566988	Sophora	1905
48.8624671568	2.39724475096	Tilleul	1905
48.8622584853	2.38990408379	Marronnier	1905
48.8627755931	2.39780189828	Cerisier à grappes	1905
48.8628159587	2.38987334428	Marronnier	1905
48.8730652434	2.37703660646	Marronnier	1905
48.8728626771	2.37719409723	Marronnier	1905
48.8717937401	2.27501715285	Cèdre	1905
48.8716027601	2.2748178462	Libocèdre	1905
48.8624986394	2.39464731676	Magnolia	1905
48.8730308154	2.37709940774	Marronnier	1905
48.8718142667	2.27480791214	Orme	1905
48.8728227891	2.37722014228	Marronnier	1905
48.8604295468	2.39654343343	Libocèdre	1905
48.8734133465	2.37655514273	Marronnier	1905
48.8734163299	2.37695657263	Pommier à fruits	1905
48.8625394316	2.39527472908	Cyprès	1905
48.8736813631	2.37654670694	Marronnier	1905
48.862360608	2.39692273117	Tilleul	1905
48.8594246911	2.39225626462	Orme	1905
48.8718256627	2.2743330637	Cormier	1905
48.8738211487	2.37630332363	Marronnier	1905
48.8625803211	2.39524338942	Cyprès	1905
48.8736452934	2.37641268773	Marronnier	1905
48.8626465255	2.3897529373	Marronnier	1905
48.8735873043	2.37644577601	Marronnier	1905
48.8625515412	2.39773090527	Tilleul	1905
48.8625227856	2.39471726318	Magnolia	1905
48.8713239363	2.27525719002	Sorbier	1905
48.8569291416	2.37072944251	Poirier à fleurs	1905
48.8611555019	2.39610484586	Thuya	1905
48.8875259491	2.31556182864	Aubepine	1905
